year,resolution,modularity,cafFob,nb_communities
1862,3.800000000000001,0.5125291039352566,caf,19
1862,0.4,0.5314392322281235,fob,5
1862,0.6000000000000001,0.5597152156740443,fob,6
1862,0.8,0.5714751293872028,fob,7
1862,1,0.58588605872453,fob,9
1862,1.2,0.5851336884212489,fob,9
1862,1.4,0.5800052078861077,fob,10
1862,1.5999999999999999,0.5783602222828306,fob,11
1862,1.7999999999999998,0.5685918966523498,fob,12
1862,1.9999999999999998,0.5626298123436294,fob,13
1862,2.1999999999999997,0.5622780933359895,fob,13
1862,2.4,0.5619214794273076,fob,13
1862,2.6,0.5428768912027192,fob,14
1862,2.8000000000000003,0.5280646057333443,fob,16
1862,3.0000000000000004,0.5329711055913338,fob,16
1862,3.2000000000000006,0.5188420954500785,fob,18
1862,3.400000000000001,0.5188420954500785,fob,18
1862,3.600000000000001,0.5233746526569053,fob,17
1862,3.800000000000001,0.5097381980953848,fob,19
1863,0.2,0.18589033765359458,caf,2
1863,0.4,0.5432163779248593,caf,5
1863,0.6000000000000001,0.599047340212683,caf,7
1863,0.8,0.6017609703149001,caf,8
1863,1,0.6072441249203343,caf,10
1863,1.2,0.6058685257005576,caf,11
1863,1.4,0.6062548241511875,caf,11
1863,1.5999999999999999,0.6028898852059094,caf,12
1863,1.7999999999999998,0.5929797440608862,caf,14
1863,1.9999999999999998,0.5956296803479277,caf,13
